Ensembl_ID	mean_alive	mean_dead	log2_fc	p_value	p_adj
ENSG00000205208.5	1.8171577967097048	1.7780945060275637	0.039063290682141094	0.09725592014764868	0.5359693539462346
ENSG00000205213.14	2.1681968156758007	2.1470278677055066	0.021168947970294116	0.5205029232107896	0.8374074680818907
ENSG00000205220.12	2.1223758419338075	2.0806070429482344	0.041768798985573063	0.20435582442489966	0.6574856551356524
ENSG00000205250.9	2.447500040233721	2.43193552571257	0.01556451452115093	0.216366739895117	0.66679317912428
ENSG00000205268.11	1.4682620850026091	1.5223126971853274	-0.05405061218271823	0.07558163375144787	0.5047056358063783
ENSG00000205302.7	2.0435976494615082	2.031616696321045	0.011980953140463324	0.46579850715156823	0.8153744685755789
ENSG00000205309.14	1.5274258871130832	1.4850178858644898	0.04240800124859345	0.18486888791494863	0.6419308406500929
ENSG00000205336.14	2.4919032695291654	2.521484237483989	-0.029580967954823567	0.2258553022780623	0.6739952601919326
ENSG00000205339.10	2.419728233520443	2.407616429759531	0.012111803760912032	0.40455203338527357	0.7836508993092475
ENSG00000205352.11	2.3633050941202773	2.36441992085743	-0.0011148267371527965	0.9410719882056529	0.9877577152466389
ENSG00000205356.10	1.4393438981440103	1.4317458866796284	0.007598011464381882	0.7515006055353477	0.9297207167239231
ENSG00000205358.4	1.7081993773389847	1.6774589877116362	0.030740389627348597	0.6858170754776949	0.9075992488426664
ENSG00000205361.8	1.4397780057723406	1.4997317700857258	-0.05995376431338517	0.3544421745378151	0.7572951803398503
ENSG00000205362.11	1.4607685408112108	1.4962130000864988	-0.035444459275288054	0.6164339653730593	0.8817677728388805
ENSG00000205364.4	1.6454258996290063	1.6068284707755431	0.03859742885346318	0.574438839225952	0.863213103377752
ENSG00000205403.13	1.5532186181147987	1.5731509199877918	-0.019932301872993108	0.6244571625439551	0.8855483268034988
ENSG00000205413.8	1.8047870060081515	1.7239606491940311	0.08082635681412031	0.038729031435905614	0.4192545889810221
ENSG00000205420.11	1.4869584654960022	1.5526883619013785	-0.0657298964053763	0.3879688105462761	0.7735412627106683
ENSG00000205423.11	1.5281897169892182	1.5087471203769576	0.019442596612260665	0.32500481232404255	0.7405590098296265
ENSG00000205426.10	0.9321880217755903	0.9756903282291828	-0.04350230645359243	0.47076818478030635	0.8162042328720102
ENSG00000205476.9	1.2891547392998957	1.2931084299225764	-0.0039536906226806945	0.9140212137471697	0.9825976817730697
ENSG00000205485.13	1.152177291946444	1.130198432186145	0.021978859760299008	0.39788743975571517	0.7797584185169418
ENSG00000205502.4	1.3156178803538816	1.3066216511687456	0.008996229185135984	0.8868630173487899	0.9768936181781399
ENSG00000205517.13	2.121298495369241	2.114964910739644	0.006333584629596878	0.8784521399752081	0.9740429204746566
ENSG00000205531.13	2.299791501077178	2.3066772501219104	-0.006885749044732492	0.6111798626991916	0.8803900403166925
ENSG00000205542.11	3.3648610111218535	3.366439465170707	-0.0015784540488534837	0.9000073818529465	0.9799572761799848
ENSG00000205544.4	2.0961570348297407	2.0991326497421623	-0.002975614912421598	0.9191636917402198	0.9831866249079041
ENSG00000205571.14	0.9080537807269393	0.9025144067350674	0.0055393739918718765	0.9070304085800794	0.9819169450785667
ENSG00000205579.3	0.87932945585523	0.9417229746024061	-0.062393518747176024	0.06905112976021788	0.4915445213825087
ENSG00000205581.11	2.6582451750846285	2.6416076171166174	0.01663755796801114	0.14794069564703896	0.608565859183967
ENSG00000205593.12	1.4186405319082533	1.4256195415308477	-0.006979009622594345	0.801751259347811	0.9480333690074937
ENSG00000205629.12	2.3039632507429615	2.283622763678621	0.02034048706434044	0.11077701029707017	0.5602013757994403
ENSG00000205643.11	1.8277982493045097	1.83212797614863	-0.004329726844120252	0.8189984787950745	0.9531865722050205
ENSG00000205659.11	1.5925651627173205	1.5511833350663877	0.04138182765093279	0.08578136006201544	0.5154052218049848
ENSG00000205707.11	2.258293421618142	2.242633547269561	0.01565987434858096	0.5198477555863757	0.8369670753524785
